transID,blastNR,proteinID,geneName,CDSID,geneID
Ler_363029.p1.p2,sp|Q32LT9|P2011_DANRE,Q32LT9,PM20D1.1,Ler_363029.p1,nbisL1-mrna-9430
Ler_363089.p1.p1,sp|Q5F499|OPA1_CHICK,Q5F499,OPA1,Ler_363089.p1,nbisL1-mrna-9620
Ler_363089.p1.p2,sp|Q5F499|OPA1_CHICK,Q5F499,OPA1,Ler_363089.p1,nbisL1-mrna-9620
Ler_212602.p1.p1,sp|Q8CHN8|MASP1_RAT,Q8CHN8,MASP1,Ler_212602.p1,nbisL1-mrna-9552
Ler_212602.p1.p2,sp|P48740|MASP1_HUMAN,P48740,MASP1,Ler_212602.p1,nbisL1-mrna-9552
Ler_212602.p1.p3,sp|Q9GLP2|PROC_PIG,Q9GLP2,PROC,Ler_212602.p1,nbisL1-mrna-9552
Ler_212602.p1.p4,sp|Q91WP0|MASP2_MOUSE,Q91WP0,MASP2,Ler_212602.p1,nbisL1-mrna-9552
Ler_212602.p1.p7,sp|Q61646|HPT_MOUSE,Q61646,HP,Ler_212602.p1,nbisL1-mrna-9552
MSTRG.12889.2.p1.p1,sp|Q8K4P0|WDR33_MOUSE,Q8K4P0,WDR33,MSTRG.12889.2.p1,MSTRG.12889
MSTRG.12889.2.p1.p2,sp|Q9C0J8|WDR33_HUMAN,Q9C0J8,WDR33,MSTRG.12889.2.p1,MSTRG.12889
Ler_47563.p1.p1,sp|Q3MHN0|PSB6_BOVIN,Q3MHN0,PSMB6,Ler_47563.p1,nbisL1-mrna-9525
Ler_47563.p1.p2,sp|Q3MHN0|PSB6_BOVIN,Q3MHN0,PSMB6,Ler_47563.p1,nbisL1-mrna-9525
MSTRG.13068.1.p2.p2,sp|Q9JKB3|YBOX3_MOUSE,Q9JKB3,YBX3,MSTRG.13068.1.p2,MSTRG.13068
MSTRG.12947.1.p1.p1,sp|Q32PF0|TM201_BOVIN,Q32PF0,TMEM201,MSTRG.12947.1.p1,MSTRG.12947
MSTRG.12822.1.p4.p1,sp|Q6AYY8|ACATN_RAT,Q6AYY8,SLC33A1,MSTRG.12822.1.p4,MSTRG.12822
MSTRG.13033.2.p11.p1,sp|Q96P50|ACAP3_HUMAN,Q96P50,ACAP3,MSTRG.13033.2.p11,MSTRG.13033
MSTRG.12817.5.p7.p1,sp|B2RQR8|ECE2_MOUSE,B2RQR8,ECE2,MSTRG.12817.5.p7,MSTRG.12817
MSTRG.13052.1.p1.p1,sp|A1A5X5|ADIPL_DANRE,A1A5X5,C1QTNF12,MSTRG.13052.1.p1,MSTRG.13052
MSTRG.13006.2.p1.p1,sp|Q9BH10|ZP2_BOVIN,Q9BH10,ZP2,MSTRG.13006.2.p1,MSTRG.13006
Ler_83879.p1.p3,sp|P04323|POL3_DROME,P04323,POL,Ler_83879.p1,nbisL1-mrna-9457
MSTRG.12999.1.p1.p1,sp|P98064|MASP1_MOUSE,P98064,MASP1,MSTRG.12999.1.p1,MSTRG.12999
MSTRG.12932.1.p1.p1,sp|P00611|PA2A1_LATSE,P00611,#N/A,MSTRG.12932.1.p1,MSTRG.12932
Ler_280556.p1.p1,sp|Q3SYW2|CO2_BOVIN,Q3SYW2,C2,Ler_280556.p1,nbisL1-mrna-9498
Ler_280556.p1.p2,sp|Q80T79|CSMD3_MOUSE,Q80T79,CSMD3,Ler_280556.p1,nbisL1-mrna-9498
Ler_280556.p1.p5,sp|P42279|TRYU_DROME,P42279,ETATRY,Ler_280556.p1,nbisL1-mrna-9498
Ler_280556.p1.p10,sp|P81187|CFAB_BOVIN,P81187,CFB,Ler_280556.p1,nbisL1-mrna-9498
Ler_280556.p1.p11,sp|P54629|TRYU_DROER,P54629,ETATRY,Ler_280556.p1,nbisL1-mrna-9498
Ler_151901.p6.p6,sp|Q8K2A8|ALG3_MOUSE,Q8K2A8,ALG3,Ler_151901.p6,nbisL1-mrna-9531
Ler_256484.p1.p1,sp|Q4VUF1|FOXL2_ELLLU,Q4VUF1,FOXL2,Ler_256484.p1,nbisL1-mrna-9656
Ler_47460.p1.p1,sp|Q8JZM8|MUC4_MOUSE,Q8JZM8,MUC4,Ler_47460.p1,nbisL1-mrna-9634
Ler_280417.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_280417.p1,nbisL1-mrna-9424
MSTRG.12925.1.p1.p1,sp|Q6SLM1|PA2B5_BUNCE,Q6SLM1,#N/A,MSTRG.12925.1.p1,MSTRG.12925
MSTRG.12907.1.p1.p1,sp|Q9W701|CLCKB_XENLA,Q9W701,CLCNKB,MSTRG.12907.1.p1,MSTRG.12907
MSTRG.12930.1.p1.p1,sp|P23026|PA2BA_PSETE,P23026,#N/A,MSTRG.12930.1.p1,MSTRG.12930
MSTRG.12973.1.p1.p1,sp|Q6DKE2|DVL3_XENLA,Q6DKE2,DVL3,MSTRG.12973.1.p1,MSTRG.12973
Ler_347114.p1.p1,sp|Q5ZJ43|EXOC8_CHICK,Q5ZJ43,EXOC8,Ler_347114.p1,nbisL1-mrna-9605
Ler_234577.p1.p1,sp|Q9H3D4|P63_HUMAN,Q9H3D4,TP63,Ler_234577.p1,nbisL1-mrna-9509
Ler_47387.p2.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_47387.p2,nbisL1-mrna-9607
Ler_151904.p1.p1,sp|Q06124|PTN11_HUMAN,Q06124,PTPN11,Ler_151904.p1,nbisL1-mrna-9681
MSTRG.12795.1.p1.p1,sp|O15050|TRNK1_HUMAN,O15050,TRANK1,MSTRG.12795.1.p1,MSTRG.12795
MSTRG.12795.1.p1.p2,sp|Q8BV79|TRNK1_MOUSE,Q8BV79,TRANK1,MSTRG.12795.1.p1,MSTRG.12795
MSTRG.12888.1.p2.p2,sp|Q6NRQ7|SSU72_XENLA,Q6NRQ7,SSU72,MSTRG.12888.1.p2,MSTRG.12888
MSTRG.13074.1.p1.p1,sp|Q495T6|MMEL1_HUMAN,Q495T6,MMEL1,MSTRG.13074.1.p1,MSTRG.13074
Ler_379841.p1.p1,sp|P23759|PAX7_HUMAN,P23759,PAX7,Ler_379841.p1,nbisL1-mrna-9522
Ler_331548.p3.p3,sp|Q9P2K9|DISP3_HUMAN,Q9P2K9,DISP3,Ler_331548.p3,nbisL1-mrna-9603
MSTRG.13072.1.p1.p1,sp|Q96DR7|ARHGQ_HUMAN,Q96DR7,ARHGEF26,MSTRG.13072.1.p1,MSTRG.13072
MSTRG.12926.1.p1.p1,sp|D2X8K2|PA2_CONGI,D2X8K2,#N/A,MSTRG.12926.1.p1,MSTRG.12926
Ler_347184.p1.p1,sp|Q52KW8|RCC2_XENLA,Q52KW8,RCC2,Ler_347184.p1,nbisL1-mrna-9545
Ler_347184.p1.p4,sp|Q6NYE2|RCC2_DANRE,Q6NYE2,RCC2,Ler_347184.p1,nbisL1-mrna-9545
MSTRG.13014.1.p2.p2,sp|Q9D023|MPC2_MOUSE,Q9D023,MPC2,MSTRG.13014.1.p2,MSTRG.13014
MSTRG.13104.5.p1.p1,sp|Q99102|MUC4_HUMAN,Q99102,MUC4,MSTRG.13104.5.p1,MSTRG.13104
MSTRG.13104.13.p3.p1,sp|Q99102|MUC4_HUMAN,Q99102,MUC4,MSTRG.13104.13.p3,MSTRG.13104
MSTRG.12897.1.p1.p1,sp|Q3UM45|PP1R7_MOUSE,Q3UM45,PPP1R7,MSTRG.12897.1.p1,MSTRG.12897
MSTRG.12931.1.p1.p1,sp|Q8UW08|PA2B0_HYDHA,Q8UW08,#N/A,MSTRG.12931.1.p1,MSTRG.12931
Ler_47566.p1.p1,sp|A1A4J8|SCO1_BOVIN,A1A4J8,SCO1,Ler_47566.p1,nbisL1-mrna-9649
Ler_347347.p1.p1,sp|P04323|POL3_DROME,P04323,POL,Ler_347347.p1,nbisL1-mrna-9966
MSTRG.13207.3.p1.p1,sp|Q8BJ56|PLPL2_MOUSE,Q8BJ56,PNPLA2,MSTRG.13207.3.p1,MSTRG.13207
MSTRG.13338.5.p2.p1,sp|Q01134|CHKA_RAT,Q01134,CHKA,MSTRG.13338.5.p2,MSTRG.13338
MSTRG.13338.5.p2.p2,sp|O54804|CHKA_MOUSE,O54804,CHKA,MSTRG.13338.5.p2,MSTRG.13338
MSTRG.13424.1.p1.p1,sp|Q8AWA7|K1C11_LAMFL,Q8AWA7,#N/A,MSTRG.13424.1.p1,MSTRG.13424
MSTRG.13424.1.p1.p5,sp|O57611|K1C18_SCYST,O57611,KRT18,MSTRG.13424.1.p1,MSTRG.13424
Ler_379868.p1.p1,sp|O95628|CNOT4_HUMAN,O95628,CNOT4,Ler_379868.p1,nbisL1-mrna-9920
Ler_379868.p1.p4,sp|O95628|CNOT4_HUMAN,O95628,CNOT4,Ler_379868.p1,nbisL1-mrna-9920
MSTRG.13135.1.p1.p1,sp|P98088|MUC5A_HUMAN,P98088,MUC5AC,MSTRG.13135.1.p1,MSTRG.13135
MSTRG.13305.2.p2.p2,sp|Q4LAL6|ALX4_BOVIN,Q4LAL6,ALX4,MSTRG.13305.2.p2,MSTRG.13305
MSTRG.13122.1.p3.p3,sp|Q9P258|RCC2_HUMAN,Q9P258,RCC2,MSTRG.13122.1.p3,MSTRG.13122
Ler_331649.p2.p2,sp|Q3T0V9|DEOC_BOVIN,Q3T0V9,DERA,Ler_331649.p2,nbisL1-mrna-9759
Ler_331649.p2.p3,sp|Q9Y315|DEOC_HUMAN,Q9Y315,DERA,Ler_331649.p2,nbisL1-mrna-9759
MSTRG.13417.1.p1.p1,sp|Q60HC0|SYT1_MACFA,Q60HC0,SYT1,MSTRG.13417.1.p1,MSTRG.13417
Ler_380050.p3.p3,sp|E1C1R4|UBP47_CHICK,E1C1R4,USP47,Ler_380050.p3,nbisL1-mrna-9896
MSTRG.13363.1.p1.p1,sp|Q8C8M1|SHCAF_MOUSE,Q8C8M1,SINHCAF,MSTRG.13363.1.p1,MSTRG.13363
Ler_234653.p4.p1,sp|P17980|PRS6A_HUMAN,P17980,PSMC3,Ler_234653.p4,nbisL1-mrna-9721
Ler_234653.p4.p2,sp|O42586|PR6AB_XENLA,O42586,PSMC3-B,Ler_234653.p4,nbisL1-mrna-9721
Ler_234653.p4.p4,sp|P17980|PRS6A_HUMAN,P17980,PSMC3,Ler_234653.p4,nbisL1-mrna-9721
Ler_234653.p4.p5,sp|P17980|PRS6A_HUMAN,P17980,PSMC3,Ler_234653.p4,nbisL1-mrna-9721
Ler_280757.p1.p1,sp|Q6ZXD2|SIA8A_BOVIN,Q6ZXD2,ST8SIA1,Ler_280757.p1,nbisL1-mrna-9811
Ler_256764.p2.p1,sp|Q95SX7|RTBS_DROME,Q95SX7,RTASE,Ler_256764.p2,nbisL1-mrna-9885
MSTRG.13345.1.p1.p1,sp|Q6ZPE2|MTMR5_MOUSE,Q6ZPE2,SBF1,MSTRG.13345.1.p1,MSTRG.13345
MSTRG.13386.6.p1.p1,sp|Q28983|ZAN_PIG,Q28983,ZAN,MSTRG.13386.6.p1,MSTRG.13386
MSTRG.13386.6.p1.p2,sp|Q9Y493|ZAN_HUMAN,Q9Y493,ZAN,MSTRG.13386.6.p1,MSTRG.13386
MSTRG.13247.5.p11.p1,sp|Q8IVL1|NAV2_HUMAN,Q8IVL1,NAV2,MSTRG.13247.5.p11,MSTRG.13247
MSTRG.13247.5.p11.p2,sp|Q8IVL1|NAV2_HUMAN,Q8IVL1,NAV2,MSTRG.13247.5.p11,MSTRG.13247
Ler_302836.p6.p6,sp|Q70IA6|MOB2_HUMAN,Q70IA6,MOB2,Ler_302836.p6,nbisL1-mrna-9946
Ler_101045.p3.p3,sp|P70428|EXT2_MOUSE,P70428,EXT2,Ler_101045.p3,nbisL1-mrna-9806
Ler_347214.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_347214.p1,nbisL1-mrna-9760
MSTRG.13306.2.p1.p1,sp|Q80WR1|TSN18_MOUSE,Q80WR1,TSPAN18,MSTRG.13306.2.p1,MSTRG.13306
MSTRG.13371.1.p2.p2,sp|Q06234|ASCL1_XENLA,Q06234,ASCL1,MSTRG.13371.1.p2,MSTRG.13371
MSTRG.13421.1.p6.p1,sp|P50518|VATE1_MOUSE,P50518,ATP6V1E1,MSTRG.13421.1.p6,MSTRG.13421
Ler_84048.p2.p2,sp|A6NNB3|IFM5_HUMAN,A6NNB3,IFITM5,Ler_84048.p2,nbisL1-mrna-9926
MSTRG.13311.10.p1.p1,sp|Q13136|LIPA1_HUMAN,Q13136,PPFIA1,MSTRG.13311.10.p1,MSTRG.13311
Ler_318940.p3.p3,sp|Q766D5|B4GN4_MOUSE,Q766D5,B4GALNT4,Ler_318940.p3,nbisL1-mrna-9746
MSTRG.13385.1.p1.p1,sp|Q86W56|PARG_HUMAN,Q86W56,PARG,MSTRG.13385.1.p1,MSTRG.13385
MSTRG.13213.1.p1.p1,sp|Q9DCK3|TSN4_MOUSE,Q9DCK3,TSPAN4,MSTRG.13213.1.p1,MSTRG.13213
Ler_331703.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_331703.p1,nbisL1-mrna-9839
Ler_396615.p1.p1,sp|Q28F07|ANM1_XENTR,Q28F07,PRMT1,Ler_396615.p1,nbisL1-mrna-9921
MSTRG.13258.1.p1.p1,sp|A5PKG8|DBX1_BOVIN,A5PKG8,DBX1,MSTRG.13258.1.p1,MSTRG.13258
MSTRG.13354.1.p1.p1,sp|Q8BU25|PAMR1_MOUSE,Q8BU25,PAMR1,MSTRG.13354.1.p1,MSTRG.13354
MSTRG.13287.1.p1.p1,sp|Q925B5|SYT13_RAT,Q925B5,SYT13,MSTRG.13287.1.p1,MSTRG.13287
MSTRG.13310.1.p1.p1,sp|P53782|CCND2_XENLA,P53782,CCND2,MSTRG.13310.1.p1,MSTRG.13310
Ler_84067.p1.p1,sp|Q9HBI1|PARVB_HUMAN,Q9HBI1,PARVB,Ler_84067.p1,nbisL1-mrna-9794
MSTRG.13403.1.p1.p1,sp|Q9HBI1|PARVB_HUMAN,Q9HBI1,PARVB,MSTRG.13403.1.p1,MSTRG.13403
Ler_380019.p2.p2,sp|E1C1R4|UBP47_CHICK,E1C1R4,USP47,Ler_380019.p2,nbisL1-mrna-9853
Ler_302815.p10.p1,sp|P28347|TEAD1_HUMAN,P28347,TEAD1,Ler_302815.p10,nbisL1-mrna-9800
Ler_256617.p3.p1,sp|Q5ZJ64|EIF3M_CHICK,Q5ZJ64,EIF3M,Ler_256617.p3,nbisL1-mrna-9933
Ler_256617.p3.p2,sp|Q5ZJ64|EIF3M_CHICK,Q5ZJ64,EIF3M,Ler_256617.p3,nbisL1-mrna-9933
Ler_256617.p3.p5,sp|Q7ZYU8|EIF3M_XENLA,Q7ZYU8,EIF3M,Ler_256617.p3,nbisL1-mrna-9933
Ler_256617.p3.p6,sp|Q7T3B0|EIF3M_DANRE,Q7T3B0,EIF3M,Ler_256617.p3,nbisL1-mrna-9933
Ler_318977.p1.p1,sp|Q14444|CAPR1_HUMAN,Q14444,CAPRIN1,Ler_318977.p1,nbisL1-mrna-9789
Ler_318977.p1.p2,sp|Q5M9G3|CAPR1_RAT,Q5M9G3,CAPRIN1,Ler_318977.p1,nbisL1-mrna-9789
Ler_318977.p1.p4,sp|Q60865|CAPR1_MOUSE,Q60865,CAPRIN1,Ler_318977.p1,nbisL1-mrna-9789
Ler_151946.p1.p1,sp|Q1L8F4|T178B_DANRE,Q1L8F4,TMEM178B,Ler_151946.p1,nbisL1-mrna-9720
Ler_151946.p1.p4,sp|Q1L8F4|T178B_DANRE,Q1L8F4,TMEM178B,Ler_151946.p1,nbisL1-mrna-9720
MSTRG.13313.1.p1.p1,sp|Q3UVD5|LGR6_MOUSE,Q3UVD5,LGR6,MSTRG.13313.1.p1,MSTRG.13313
MSTRG.13313.1.p1.p6,sp|B0BLW3|LGR4_XENTR,B0BLW3,LGR4,MSTRG.13313.1.p1,MSTRG.13313
MSTRG.13387.1.p1.p1,sp|Q9Y493|ZAN_HUMAN,Q9Y493,ZAN,MSTRG.13387.1.p1,MSTRG.13387
MSTRG.13167.23.p9.p1,sp|Q6IQ23|PKHA7_HUMAN,Q6IQ23,PLEKHA7,MSTRG.13167.23.p9,MSTRG.13167
Ler_302812.p1.p1,sp|Q6P3W7|SCYL2_HUMAN,Q6P3W7,SCYL2,Ler_302812.p1,nbisL1-mrna-9949
Ler_302812.p1.p2,sp|Q6P3W7|SCYL2_HUMAN,Q6P3W7,SCYL2,Ler_302812.p1,nbisL1-mrna-9949
Ler_302812.p1.p4,sp|Q6P3W7|SCYL2_HUMAN,Q6P3W7,SCYL2,Ler_302812.p1,nbisL1-mrna-9949
MSTRG.13358.2.p2.p2,sp|P0C1G6|SWP70_BOVIN,P0C1G6,SWAP70,MSTRG.13358.2.p2,MSTRG.13358
MSTRG.13429.1.p17.p1,sp|Q8CJ96|RASF8_MOUSE,Q8CJ96,RASSF8,MSTRG.13429.1.p17,MSTRG.13429
MSTRG.13268.1.p1.p1,sp|Q9ERV7|PIDD1_MOUSE,Q9ERV7,PIDD1,MSTRG.13268.1.p1,MSTRG.13268
Ler_66713.p3.p3,sp|P06398|TNNT3_COTJA,P06398,TNNT3,Ler_66713.p3,nbisL1-mrna-9751
MSTRG.13254.2.p1.p1,sp|Q62735|NR1H4_RAT,Q62735,NR1H4,MSTRG.13254.2.p1,MSTRG.13254
Ler_347262.p5.p5,sp|Q96BI1|S22AI_HUMAN,Q96BI1,SLC22A18,Ler_347262.p5,nbisL1-mrna-9970
MSTRG.13233.1.p9.p2,sp|Q16827|PTPRO_HUMAN,Q16827,PTPRO,MSTRG.13233.1.p9,MSTRG.13233
MSTRG.13270.1.p1.p1,sp|Q9JLB4|CUBN_MOUSE,Q9JLB4,CUBN,MSTRG.13270.1.p1,MSTRG.13270
MSTRG.13319.1.p2.p2,sp|Q9UKU6|TRHDE_HUMAN,Q9UKU6,TRHDE,MSTRG.13319.1.p2,MSTRG.13319
MSTRG.13319.1.p2.p3,sp|Q9UKU6|TRHDE_HUMAN,Q9UKU6,TRHDE,MSTRG.13319.1.p2,MSTRG.13319
MSTRG.13319.1.p2.p4,sp|Q10836|TRHDE_RAT,Q10836,TRHDE,MSTRG.13319.1.p2,MSTRG.13319
Ler_302756.p1.p1,sp|Q08DY8|ATG13_BOVIN,Q08DY8,ATG13,Ler_302756.p1,nbisL1-mrna-9903
Ler_302756.p1.p6,sp|A5A6N3|ATG13_PANTR,A5A6N3,ATG13,Ler_302756.p1,nbisL1-mrna-9903
Ler_379941.p6.p4,sp|Q5G872|SCUB2_DANRE,Q5G872,SCUBE2,Ler_379941.p6,nbisL1-mrna-9950
Ler_379941.p6.p6,sp|O43897|TLL1_HUMAN,O43897,TLL1,Ler_379941.p6,nbisL1-mrna-9950
Ler_66795.p1.p1,sp|Q8K4T1|SIA8F_MOUSE,Q8K4T1,ST8SIA6,Ler_66795.p1,nbisL1-mrna-9978
Ler_66795.p1.p4,sp|O15466|SIA8E_HUMAN,O15466,ST8SIA5,Ler_66795.p1,nbisL1-mrna-9978
MSTRG.13330.1.p2.p2,sp|A4IFA3|GT2D2_BOVIN,A4IFA3,GTF2IRD2,MSTRG.13330.1.p2,MSTRG.13330
Ler_280843.p1.p2,sp|P20825|POL2_DROME,P20825,POL,Ler_280843.p1,nbisL1-mrna-9997
Ler_347323.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_347323.p1,nbisL1-mrna-9969
Ler_347323.p1.p4,sp|Q86UP8|GTD2A_HUMAN,Q86UP8,GTF2IRD2,Ler_347323.p1,nbisL1-mrna-9969
Ler_256681.p1.p1,sp|Q9UBM8|MGT4C_HUMAN,Q9UBM8,MGAT4C,Ler_256681.p1,nbisL1-mrna-9986
Ler_318939.p1.p1,sp|A6H7H7|FBX3_BOVIN,A6H7H7,FBXO3,Ler_318939.p1,nbisL1-mrna-9907
MSTRG.13176.1.p1.p1,sp|P07660|CALC_CHICK,P07660,CALCA,MSTRG.13176.1.p1,MSTRG.13176
MSTRG.13271.1.p1.p1,sp|G3MWR8|MICA3_BOVIN,G3MWR8,MICAL3,MSTRG.13271.1.p1,MSTRG.13271
Ler_347196.p1.p1,sp|F1MAB7|DGKI_RAT,F1MAB7,DGKI,Ler_347196.p1,nbisL1-mrna-9913
Ler_347196.p1.p9,sp|Q13574|DGKZ_HUMAN,Q13574,DGKZ,Ler_347196.p1,nbisL1-mrna-9913
MSTRG.13416.1.p1.p1,sp|P58681|TLR7_MOUSE,P58681,TLR7,MSTRG.13416.1.p1,MSTRG.13416
MSTRG.13416.1.p1.p3,sp|Q5I2M3|TLR9_PIG,Q5I2M3,TLR9,MSTRG.13416.1.p1,MSTRG.13416
Ler_152049.p1.p1,sp|Q6IR76|TMM19_XENLA,Q6IR76,TMEM19,Ler_152049.p1,nbisL1-mrna-9822
Ler_84121.p2.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_84121.p2,nbisL1-mrna-9819
Ler_171993.p9.p8,sp|Q9BSW2|EFC4B_HUMAN,Q9BSW2,CRACR2A,Ler_171993.p9,nbisL1-mrna-9934
Ler_172023.p1.p1,sp|P15384|KCNA3_RAT,P15384,KCNA3,Ler_172023.p1,nbisL1-mrna-9902
Ler_347313.p2.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_347313.p2,nbisL1-mrna-9842
MSTRG.13181.1.p3.p3,sp|Q58CU5|TM213_BOVIN,Q58CU5,TMEM213,MSTRG.13181.1.p3,MSTRG.13181
MSTRG.13144.2.p1.p1,sp|Q8CGC6|RBM28_MOUSE,Q8CGC6,RBM28,MSTRG.13144.2.p1,MSTRG.13144
MSTRG.13142.1.p2.p1,sp|Q6ZQ03|FNBP4_MOUSE,Q6ZQ03,FNBP4,MSTRG.13142.1.p2,MSTRG.13142
MSTRG.13142.1.p2.p10,sp|Q8N3X1|FNBP4_HUMAN,Q8N3X1,FNBP4,MSTRG.13142.1.p2,MSTRG.13142
Ler_319025.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_319025.p1,nbisL1-mrna-9827
Ler_47733.p1.p1,sp|O75334|LIPA2_HUMAN,O75334,PPFIA2,Ler_47733.p1,nbisL1-mrna-9825
MSTRG.13334.1.p2.p2,sp|P05524|FGF3_MOUSE,P05524,FGF3,MSTRG.13334.1.p2,MSTRG.13334
MSTRG.13437.2.p2.p2,sp|P08642|RASH_CHICK,P08642,HRAS,MSTRG.13437.2.p2,MSTRG.13437
Ler_47829.p1.p1,sp|Q9BQS7|HEPH_HUMAN,Q9BQS7,HEPH,Ler_47829.p1,nbisL1-mrna-9862
Ler_84077.p1.p1,sp|Q32M45|ANO4_HUMAN,Q32M45,ANO4,Ler_84077.p1,nbisL1-mrna-9797
Ler_84077.p1.p8,sp|Q8C5H1|ANO4_MOUSE,Q8C5H1,ANO4,Ler_84077.p1,nbisL1-mrna-9797
MSTRG.13269.1.p1.p1,sp|F1RWC3|CUBN_PIG,F1RWC3,CUBN,MSTRG.13269.1.p1,MSTRG.13269
Ler_347333.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_347333.p1,nbisL1-mrna-9971
MSTRG.13360.1.p1.p1,sp|Q6PAL8|DEN5A_MOUSE,Q6PAL8,DENND5A,MSTRG.13360.1.p1,MSTRG.13360
MSTRG.13402.1.p1.p1,sp|Q86UP8|GTD2A_HUMAN,Q86UP8,GTF2IRD2,MSTRG.13402.1.p1,MSTRG.13402
MSTRG.13353.1.p1.p1,sp|Q9UPX8|SHAN2_HUMAN,Q9UPX8,SHANK2,MSTRG.13353.1.p1,MSTRG.13353
MSTRG.13399.1.p1.p1,sp|Q2LK94|COL11_CHICK,Q2LK94,COLEC11,MSTRG.13399.1.p1,MSTRG.13399
MSTRG.13399.5.p1.p1,sp|Q2LK95|COL10_CHICK,Q2LK95,COLEC10,MSTRG.13399.5.p1,MSTRG.13399
MSTRG.13332.2.p1.p1,sp|Q96JT2|S45A3_HUMAN,Q96JT2,SLC45A3,MSTRG.13332.2.p1,MSTRG.13332
MSTRG.13415.1.p1.p1,sp|Q6YHK3|CD109_HUMAN,Q6YHK3,CD109,MSTRG.13415.1.p1,MSTRG.13415
Ler_396746.p3.p3,sp|Q60664|IRAG2_MOUSE,Q60664,IRAG2,Ler_396746.p3,nbisL1-mrna-9859
Ler_101071.p18.p1,sp|A4Z945|F200C_BOVIN,A4Z945,FAM200C,Ler_101071.p18,nbisL1-mrna-9821
MSTRG.13161.1.p2.p1,sp|P47237|PAX6_CHICK,P47237,PAX6,MSTRG.13161.1.p2,MSTRG.13161
MSTRG.13161.1.p2.p2,sp|P47238|PAX6_COTJA,P47238,PAX6,MSTRG.13161.1.p2,MSTRG.13161
MSTRG.13248.1.p1.p1,sp|Q9TST2|NTF3_FELCA,Q9TST2,NTF3,MSTRG.13248.1.p1,MSTRG.13248
Ler_396612.p1.p1,sp|Q6P806|SAM50_XENTR,Q6P806,SAMM50,Ler_396612.p1,nbisL1-mrna-9764
Ler_396612.p1.p3,sp|Q6PA35|SAM5B_XENLA,Q6PA35,SAMM50-B,Ler_396612.p1,nbisL1-mrna-9764
Ler_331585.p1.p1,sp|O93209|POL_FFV,O93209,POL,Ler_331585.p1,nbisL1-mrna-9900
Ler_363298.p8.p6,sp|A9ALD3|PYCR2_BURM1,A9ALD3,YBIC,Ler_363298.p8,nbisL1-mrna-9973
MSTRG.13337.2.p5.p1,sp|Q80XC3|US6NL_MOUSE,Q80XC3,USP6NL,MSTRG.13337.2.p5,MSTRG.13337
MSTRG.13407.3.p1.p1,sp|Q09429|ABCC8_RAT,Q09429,ABCC8,MSTRG.13407.3.p1,MSTRG.13407
MSTRG.13407.3.p1.p2,sp|Q09427|ABCC8_CRICR,Q09427,ABCC8,MSTRG.13407.3.p1,MSTRG.13407
MSTRG.13134.11.p1.p1,sp|Q9HC84|MUC5B_HUMAN,Q9HC84,MUC5B,MSTRG.13134.11.p1,MSTRG.13134
MSTRG.13134.6.p1.p1,sp|Q80Z19|MUC2_MOUSE,Q80Z19,MUC2,MSTRG.13134.6.p1,MSTRG.13134
Ler_331635.p1.p1,sp|E7EY42|PTSS2_DANRE,E7EY42,PTDSS2,Ler_331635.p1,nbisL1-mrna-9910
MSTRG.13289.1.p1.p1,sp|B9EJ86|OSBL8_MOUSE,B9EJ86,OSBPL8,MSTRG.13289.1.p1,MSTRG.13289
Ler_47712.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_47712.p1,nbisL1-mrna-9918
MSTRG.13235.2.p1.p1,sp|Q12929|EPS8_HUMAN,Q12929,EPS8,MSTRG.13235.2.p1,MSTRG.13235
Ler_318975.p1.p1,sp|A1YER2|HTAI2_GORGO,A1YER2,HTATIP2,Ler_318975.p1,nbisL1-mrna-9791
Ler_66745.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_66745.p1,nbisL1-mrna-9868
Ler_396648.p1.p1,sp|A6QLI1|VGLU2_BOVIN,A6QLI1,SLC17A6,Ler_396648.p1,nbisL1-mrna-9785
Ler_66721.p1.p1,sp|Q5ZMC6|GSKIP_CHICK,Q5ZMC6,GSKIP,Ler_66721.p1,nbisL1-mrna-9924
MSTRG.13217.2.p1.p1,sp|P19965|SP15_TETCF,P19965,#N/A,MSTRG.13217.2.p1,MSTRG.13217
MSTRG.13217.2.p1.p2,sp|P19965|SP15_TETCF,P19965,#N/A,MSTRG.13217.2.p1,MSTRG.13217
MSTRG.13160.1.p1.p1,sp|Q1LZF1|PAX6_BOVIN,Q1LZF1,PAX6,MSTRG.13160.1.p1,MSTRG.13160
Ler_280696.p4.p4,sp|O35566|CD151_MOUSE,O35566,CD151,Ler_280696.p4,nbisL1-mrna-9752
Ler_280696.p4.p5,sp|Q3ZBH3|CD151_BOVIN,Q3ZBH3,CD151,Ler_280696.p4,nbisL1-mrna-9752
